# Door & Key
d 54 270 level0
k 198 54

# Hero
h 54 54

# Platforms

# Border #
w 18 18 F
w 18 36 F
w 18 54 F
w 18 72 F
w 18 90 F
w 18 108 F
w 18 126 F
w 18 144 F
w 18 162 F
w 18 180 F
w 18 198 F
w 18 216 F
w 18 234 F
w 18 252 F
w 18 270 F
w 18 288 F
w 36 288 F
w 54 288 F
w 72 288 F
w 90 288 F
w 378 288 F
w 378 18 F
w 378 36 F
w 378 54 F
w 378 72 F
w 378 90 F
w 378 108 F
w 378 126 F
w 378 144 F
w 378 162 F
w 378 180 F
w 378 198 F
w 378 216 F
w 378 234 F
w 378 252 F
w 378 270 F
w 36 18 F
w 54 18 F
w 72 18 F
w 90 18 F
w 108 18 F
w 126 18 F
w 144 18 F
w 162 18 F
w 180 18 F
w 198 18 F
w 216 18 F
w 234 18 F
w 252 18 F
w 270 18 F
w 288 18 F 
w 306 18 F 
w 324 18 F 
w 342 18 F 
w 360 18 F
# Border #
 
# Actual platforms #
w 36 108 F
w 54 108 F
w 72 108 F
w 270 270 F
w 216 234 F
w 72 216 T
w 162 180 F
w 162 198 F
w 162 216 F
w 162 234 T
w 162 288 F
w 324 180 F
w 342 180 F
w 360 180 F
w 162 162 F
w 216 162 F
w 234 162 F
w 216 90 F
w 234 90 T
w 198 90 F
w 252 90 T
w 162 90 F
w 162 72 F
w 162 54 F
w 162 36 F
w 252 162 F
w 162 108 T
w 270 90 T
w 342 108 F
w 198 72 F
